"","countrycode","year","H","K","n","elasH","elasN","elasK","DamCoeff_T2","DamCoeff_T2_sd"
"1","ABW",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"2","AFG",2018,NA,NA,NA,0.53833861225934,0.00335310318709635,0.458308284553564,NA,NA
"3","AGO",2018,NA,NA,NA,0.53833861225934,0.00419192182495699,0.457469465915703,NA,NA
"4","ALB",2018,81214984639.6904,84779198625.1519,602903959.959423,0.53833861225934,0.00169991392116727,0.459961473819493,-0.016738015830553,0.0331330542962961
"5","AND",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"6","ARE",2018,2280662093172.42,1204070093134.48,17362322.68482,0.53833861225934,8.92711081276483e-07,0.461660495029579,-0.0391149136620805,0.00599274159185531
"7","ARG",2018,3159938052951.32,1603408333526.46,11746740704.9617,0.53833861225934,0.00150146455085936,0.460159923189801,0.0102613732859002,0.00196255487393107
"8","ARM",2018,84936407008.439,50955431826.5096,674653775.985161,0.53833861225934,0.002638273677589,0.459023114063071,-0.00426871052706622,0.0298093996277565
"9","ASM",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"10","ATG",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"11","AUS",2018,11787895340751.5,7580693899915.26,43837231685.9386,0.53833861225934,0.0018182323041867,0.459843155436474,0.00810987034018974,0.0231757769470997
"12","AUT",2018,3105686456505.74,2386655400216.39,7088692292.62183,0.53833861225934,0.000766267322217842,0.460895120418442,0.0232976850385979,0.00710293135819403
"13","AZE",2018,83168555102.4489,114060729918.981,186895289.087839,0.53833861225934,0.000192364028432561,0.461469023712228,-0.0102644448911966,0.0236145183597989
"14","BDI",2018,39301488154.2892,5757344704.71395,981564043.420104,0.53833861225934,0.110535045140133,0.351126342600527,-0.0102975314266363,0.00618496494953352
"15","BEL",2018,3637862555859.32,2632141787297.48,2378051564.17533,0.53833861225934,0.000189338645597239,0.461472049095063,-0.0716550134510468,0.0185449942505223
"16","BEN",2018,149053544160.728,40666920265.7859,4666020752.99616,0.53833861225934,0.0232512861661822,0.438410101574478,-0.0067097441994026,0.001284390769358
"17","BFA",2018,85075306603.451,38348504245.9482,13327364974.0963,0.53833861225934,0.0484494340668782,0.413211953673782,-0.00293801141515886,0.00685290564587651
"18","BGD",2018,2087051089336.75,862575454400.444,1153152425.67417,0.53833861225934,0.000828251015697956,0.460833136724962,-0.00695326904561017,0.00855742120469128
"19","BGR",2018,439589137236.569,196125802912.683,3572945371.22105,0.53833861225934,0.00241889942580524,0.459242488314855,0.0347341861751739,0.060504740935448
"20","BHR",2018,143431676184.459,150999673253.61,726514.098731589,0.53833861225934,3.84750046351315e-06,0.461657540240197,NA,NA
"21","BHS",2018,NA,NA,NA,0.53833861225934,0.000130319917052742,0.461531067823607,NA,NA
"22","BIH",2018,86568173438.1104,59529016107.787,2492829556.80018,0.53833861225934,0.00567950157664424,0.455981886164016,-0.00195947249508733,0.0119684248600071
"23","BLR",2018,386912467024.488,291856777522.787,11788524473.0553,0.53833861225934,0.0114314921386453,0.450229895602015,0.0219226756985462,0.0106107983841361
"24","BLZ",2018,7575913864.86796,4924814397.26407,182652405.31142,0.53833861225934,0.00359075958162855,0.458070628159032,-0.00443415533027245,0.00934407398884612
"25","BMU",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"26","BOL",2018,285483283239.065,83118264447.5505,4096990344.9629,0.53833861225934,0.00499141278669154,0.456669974953969,-0.00417364744192313,0.00124346793329122
"27","BRA",2018,15402644028760.7,6558239116223.86,287433616246.203,0.53833861225934,0.00819184516373365,0.453469542576927,-0.00503666820973809,0.0029941082383237
"28","BRB",2018,NA,NA,NA,0.53833861225934,0.000136016219658523,0.461525371521002,NA,NA
"29","BRN",2018,NA,NA,NA,0.53833861225934,0.000651156541691175,0.461010231198969,NA,NA
"30","BTN",2018,NA,NA,NA,0.53833861225934,0.0192887368249323,0.442372650915728,NA,NA
"31","BWA",2018,93301298330.9823,64358982181.3833,1539880167.04572,0.53833861225934,0.0025374427481534,0.459123944992507,0.0286860754136523,0.00894928654021884
"32","CAF",2018,4436055542.87767,11327705149.1693,5915026708.02744,0.53833861225934,0.10774475801721,0.35391662972345,-0.00253826863850824,0.00355678518369065
"33","CAN",2018,19753496587531.6,8761234351908.24,32491359875.3539,0.53833861225934,0.000615672463626025,0.461045715277034,-0.029405266710342,0.0251280736438117
"34","CHE",2018,6780411662124,3198104748013.78,1831413548.44789,0.53833861225934,0.000128212132483177,0.461533175608177,0.00235832465532885,0.0145957652733133
"35","CHI",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"36","CHL",2018,2256288059331.84,1017528642981.96,40385291655.1891,0.53833861225934,0.0080202933322273,0.453641094408433,0.00611442653516485,0.00105143008139657
"37","CHN",2018,177831289310445,53314150162950.9,322031576496.519,0.53833861225934,0.000998953826431864,0.460662433914228,0.00784895881255385,0.00576455968437467
"38","CIV",2018,276474919430.216,102117151042.914,24747829791.8357,0.53833861225934,0.0141026674420647,0.447558720298596,-0.008850475212467,0.00102534805461125
"39","CMR",2018,345441835173.499,110744259953.302,30022710337.8881,0.53833861225934,0.0295560271606454,0.432105360580015,-0.00270125769818877,0.00135917626641008
"40","COD",2018,365007539976.128,96885410713.5573,159125894365.174,0.53833861225934,0.0902514998740985,0.371409887866562,-0.00633541785461979,0.00193826689983418
"41","COG",2018,84873747307.5074,94658530997.1541,11420485821.7654,0.53833861225934,0.0384676791006293,0.423193708640031,-0.00875666359304264,0.00317841078574326
"42","COL",2018,2771098238262.02,1147837745110.88,11481734930.0257,0.53833861225934,0.00108646052308931,0.460574927217571,-0.00359497173899109,0.00112746626448947
"43","COM",2018,8267031634.13883,6055681160.48183,177685739.704848,0.53833861225934,0.0146385141629581,0.447022873577702,NA,NA
"44","CPV",2018,NA,NA,NA,0.53833861225934,0.0036914918506449,0.457969895890015,NA,NA
"45","CRI",2018,601387299244.021,151260381422.565,14232311740.3995,0.53833861225934,0.00959539064431451,0.452065997096346,-0.00578210470427324,0.010556789190294
"46","CUB",2018,NA,NA,NA,0.53833861225934,0.000774073574961194,0.460887314165699,NA,NA
"47","CUW",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"48","CYM",2018,NA,NA,NA,0.53833861225934,0,0.46166138774066,NA,NA
"49","CYP",2018,NA,NA,NA,0.53833861225934,9.54142563869891e-06,0.461651846315022,NA,NA
"50","CZE",2018,1539755001915.62,1383151656050.86,9510466700.73981,0.53833861225934,0.0024943769752366,0.459167010765424,-0.00193920485519445,0.00468101099315129
"51","DEU",2018,31650231075357.9,21403361111485.3,31065135713.5285,0.53833861225934,0.000382474818780416,0.46127891292188,-0.0104937971927502,0.0143282383851164
"52","DJI",2018,12731060520.2022,5617893844.44755,6426843.31119348,0.53833861225934,0.00265248181244454,0.459008905928216,0.0233398997710662,0.0227988118471598
"53","DMA",2018,NA,NA,NA,0.53833861225934,0.000346879419505435,0.461314508321155,NA,NA
"54","DNK",2018,2827075529007.76,1763953457921.7,1632154916.36539,0.53833861225934,0.000186351656947713,0.461475036083713,0.0086938812284785,0.00514540000713326
"55","DOM",2018,555685766324.25,272949258449.772,927184585.508824,0.53833861225934,0.000362563039339972,0.46129882470132,-0.00910874732691522,0.0166813845986919
