"","id","Ecosystem.Service.Category","Country","Spatial.Extent","Spatial.Unit.Published","Single.Value.Converted","cveg.brevstdit","cveg.brsutecdt","cveg.brsuteclt","cveg.brrgtrt","cveg.brsutewmt","cveg.brevtrt","cveg.trs","cveg.ndevtecdt","cveg.ndevteclt","cveg.ndevtedtt","cveg.ndevtedttht","cveg.ndevstdit","cveg.ndsutecdt","cveg.ndsustswt","cveg.brevdtt","cveg.brevdttht","cveg.c3hh","cveg.c3dh","cveg.c4h","cveg.brsuas","cveg.brsutecds","cveg.brsutewms","cveg.brevtecds","cveg.brevtewms","cveg.brevxs","cveg.sds","cveg.bobrsu","cveg.bondev","cveg.bondsu","cveg.c3gra","cveg.tebrsu","cveg.tebrev","cveg.tendev","cveg.c4gra","cveg.trbrev","cveg.trbrrg","cveg.bne","cveg.bine","cveg.bns","cveg.tebs","cveg.ibs","cveg.tebe","cveg.trbe","cveg.tribe","cveg.trbr","cveg.c3g","cveg.c4g","PFT.brevstdit","PFT.brsutecdt","PFT.brsuteclt","PFT.brrgtrt","PFT.brsutewmt","PFT.brevtrt","PFT.trs","PFT.ndevtecdt","PFT.ndevteclt","PFT.ndevtedtt","PFT.ndevtedttht","PFT.ndevstdit","PFT.ndsutecdt","PFT.ndsustswt","PFT.brevdtt","PFT.brevdttht","PFT.c3hh","PFT.c3dh","PFT.c4h","PFT.brsuas","PFT.brsutecds","PFT.brsutewms","PFT.brevtecds","PFT.brevtewms","PFT.brevxs","PFT.sds","PFT.bobrsu","PFT.bondev","PFT.bondsu","PFT.c3gra","PFT.tebrsu","PFT.tebrev","PFT.tendev","PFT.c4gra","PFT.trbrev","PFT.trbrrg","PFT.bne","PFT.bine","PFT.bns","PFT.tebs","PFT.ibs","PFT.tebe","PFT.trbe","PFT.tribe","PFT.trbr","PFT.c3g","PFT.c4g","gdp_pc","logESValue","logGDP","pct_covered","pct_covered_orc","pct_covered_car","cveg_total","cveg_total_orc","cveg_total_car","EcosystemArea","Cat2","cveg","pct_covered_mean","Valuation.Methodology"
"1",1,"Information",49,404.694455685957,"Hectares",31.4171821715442,0.12909867377263,11.0442022005717,8.01203238169352,0.000925833354328158,7.56240678230921,2.25000012505916e-05,0.00049583336018865,5.67519306341807,5.09519103765488,2.50000011874363e-05,0.000146500005939743,0.12161017263367,3.75000022359018e-05,0.258974847836059,0.000533833360653565,2.83333350277341e-05,0.0594681693861882,0.0594681693861882,1.50000009853102e-05,0.0163218342078229,0.018303667459016,0.0227140010179331,0.43454235146443,0.445300851762295,0.000544500032083306,0.0231685011911395,0,0,0,0.278780401746432,12.9318810304006,6.97428626219432,13.3643341133048,0,2.20349850205063e-05,2.28712277551798e-05,0,0,0,0.00421963999754128,0.0044575332691893,0.0432866284052531,0,0,0,0.000314146666166683,0,0.000154504000209272,0.335742735226949,0.238156550089518,5.86483348160982e-06,0.0534758798020581,0,0.00116943284620841,0.00758981416622798,0.00780995973944664,0,3.24566656829954e-06,0.000213719498676558,0,0.000759501991793513,1.0533500028032e-05,2.682166484495e-06,0.0219102298418681,0.0219102298418681,0,0.0140864565446973,0.0351082669099172,0.0404421931902568,0.198895211140315,0.308102376361688,0.000329584990071775,0.00197101970265309,0,0,0,0.0402116744468609,0.291788714254896,0.0807556302674736,0.316418813551633,1.58749152205928e-06,3.31770864373896e-08,3.26076115257183e-08,0,0,0,0.0514987693776687,0.062538094162941,0.415845373789469,0,0,0,0.0588501151402791,0,30461.0694183941,3.44735494616871,10.3242047347755,0.588732352470358,0.729176485797083,1.28784999205098,0.0522779483381504,33.5493267138589,38.9807715392186,238.256718927704,"nonmarket",25.9192976956309,0.868586276772809,5
"5",5,"Supporting",49,39584.7834884662,"Hectares",3.40302991937252,0.027030668060858,11.8344622612,8.75155051549276,5.00000014653779e-05,6.93311727841695,3.50000018443097e-05,3.50000018443097e-05,6.28445494969686,5.48730392456055,3.00000010611257e-05,5.00000032843673e-06,0.00219100006543158,5.00000023748726e-05,0.0107753340823062,0.000101000004027204,2.50000011874363e-05,0.072917669887344,0.072917669887344,4.50000025011832e-05,0.0196383344785621,0.0222356675813595,0.0269753348082304,0.427006018161774,0.367969350516796,0.000230333342460654,0.457988357543945,0,0,0,0.229591145449215,13.1431939866808,3.60582468774584,17.9630541907416,0,2.10117544027618e-05,2.27215756694932e-05,0.000983268895083004,0.0025634355644385,0,0.0347067313194275,0.0320145600106981,0,0,0,0,0.000513335557447539,0,9.98923333802016e-05,0.274251426696777,0.424609678268433,0,0.00477031432588895,0,0,0.00654645770788193,0.00639442300796509,0,0,4.41133312585862e-06,0,1.24470000757052e-05,1.09396673262078e-05,0,0.0932362075646718,0.0932362075646718,0,0.0429027935663859,0.0679785138765971,0.069295192082723,0.296635770161947,0.0510656286080678,0.000772615358366011,0.00157706566892254,0,0,0,0.0519748036232259,0.334171896179517,0.00678996504543142,0.547978091239929,1.67245527791238e-06,3.60071607493258e-08,3.59283155436528e-08,0.0123558603922526,0.0332980349593692,0,0.44119260236952,0.374106934441461,0,0,0,0,0.102629839473301,0,48502.5278100133,1.22466618753787,10.7893711953615,0.963583271635904,0.940916500478857,1.43339998479321,0.0707813313470946,34.9417077439475,40.7991406678002,38143.2351808152,"nonmarket",27.6063271821524,1.11263325230266,4
"7",7,"Regulating",49,3794000,"Hectares",127.483524791736,0.177731298387781,3.50800334817249,2.07541405916259,0.0344296709081822,1.65348817006456,0.00107886746482591,0.0186081588929131,1.6745711085135,0.809333969861351,0.165196537627733,0.291195559027079,0.0709111669402809,0.268045990372778,0.0839460372654863,0.124028095660935,0.0514549312837165,0.147999699496147,0.148031047406656,0.00129697523949075,0.0215769827126145,0.0456817429060748,0.0500239511308669,0.196535703565279,0.2334363919473,0.0493286455665769,0.534125656313329,0.712172767200152,1.37254562143356,0.132312203547305,0.197145411008783,4.20689049135414,3.00576392735091,4.24605937312903,0.00871063852424132,0.368614889367575,0.423773848279578,0.00263982679586794,0.00157496611595317,0,0.00438328929378627,0.0062856614324733,0.00571238577053489,0.000237169630117822,6.17135165606557e-05,4.35083005371002e-06,0.000516536647497393,8.64493207840075e-06,0.0117994932059231,0.182498448370001,0.0861542639954075,0.00629171479149219,0.092071988210129,0.0013911048079331,0.00269804549207815,0.0232185740129691,0.0123026152580978,0.00338422550919136,0.00637038272864921,0.00427741605924012,0.0201708867736635,0.00486957889471887,0.0127505506978215,0.00669216145942997,0.0830474233388273,0.0910887195648342,0.000710498398525084,0.012409344277847,0.0225731701029553,0.015085378496234,0.064874052015742,0.0948367649832625,0.00402366606944455,0.0828965832350174,0.0108443641282567,0.0453923082736363,0.000892667561520019,0.161248793396633,0.093938933896217,0.0626583577939446,0.107121109227952,0.00873646807005327,0.00346114105862102,0.00217230413485744,0.0317843898984796,0.0175805691309967,0,0.0607326910150651,0.0823440999864514,0.0738455837797919,0.00142184597367903,0.000615872852488558,0.00012903372394531,0.109776692379864,0.00118289818926193,35563.2771231053,4.84798713892949,10.4790688429492,0.379413676930023,0.496466447541691,0.948487050749435,0.0214245449649236,14.6739891711953,12.4354737658905,1439495.49027251,"nonmarket",9.75063914452606,0.608122391740383,1
"10",10,"Regulating",35,290,"Hectares",24.9489273906777,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,3.21683083091982,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"nonmarket",19.2628596001112,0.591816339210531,1
"14",14,"Provisioning",35,290,"Hectares",10.9775280469662,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,2.39585027840071,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"market",19.2628596001112,0.591816339210531,1
"15",15,"Regulating",35,290,"Hectares",10.9775280469662,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,2.39585027840071,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"nonmarket",19.2628596001112,0.591816339210531,1
"17",17,"Regulating",35,290,"Hectares",53.3907046172833,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,3.97763665997667,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"nonmarket",19.2628596001112,0.591816339210531,1
"18",18,"Regulating",35,290,"Hectares",30.9366699595083,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,3.43194221037734,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"nonmarket",19.2628596001112,0.591816339210531,1
"19",19,"Regulating",35,290,"Hectares",21.4560775547498,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,3.06600794112777,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"nonmarket",19.2628596001112,0.591816339210531,1
"22",22,"Provisioning",35,290,"Hectares",18.961184809517,3.75000016674676e-05,8.65636182626088,6.26461061773337,1.8750001004264e-05,6.36051746178361,8.75000057476427e-06,1.98333344239169e-05,4.90330027820319,5.17507442826393,1.56250007989911e-05,0.0819692954149067,1.68750008242569e-05,1.62500008400457e-05,1.37500007326707e-05,1.84911929908968,1.18750007800372e-05,0.199375301009665,0.199375301009665,1.87500012316377e-06,0.038790918432763,0.0510133772824095,0.0589500861031638,0.592790407151915,0.780357953662428,0.178187510207109,0.469851354987634,0,0,0,0.342463145912557,4.3270710724468,8.48580664359843,4.92950119748798,0,0.46132852415333,0.857764262565668,0.000864873329798381,0.000971568326155345,0,0.00363620084252761,0.00921053538719813,0.0101480545724031,0,0,0,0.000417142084225209,0,0,0.13361779572318,0.110190037499842,0,0.137328923066457,0,0,0.00361433052079186,0.00486090037486671,0,4.44081246096175e-05,0,0,0,0.00131234991612534,0,0.0242741665790478,0.0242741665790478,0,0.00850528153586754,0.0264711001832038,0.0279210427453121,0.054202430032952,0.213317520210519,0.0104162838967369,0.00158675750006762,0,0,0,0.120192392910088,0.0903684122888759,0.223183530039626,0.127559427120592,2.627638526763e-06,6.25143290699098e-05,4.91343415506541e-05,0.00394926329453786,0.00465072307984034,0,0.0614044503141195,0.182609884301821,0.105416089407847,0,0,0,0.0740630740764706,0,32087.90625,2.94239398482789,10.3762344857927,0.432093484474636,0.561418038668329,0.781937494488627,0.0252483745423078,19.4039348461648,35.8598064999381,125.307110497645,"market",19.2628596001112,0.591816339210531,1
